"","status_id","created_at","text","source","is_quote","is_retweet","retweet_count","favorite_count","quoted_name"
"ArianaGrande.1","1069313340529209344",2018-12-02 19:32:21,"next tat https://t.co/WryqtSUqkh","Twitter for iPhone",TRUE,FALSE,2890,44910,"nicole 27"
"ArianaGrande.2","1069309763127717888",2018-12-02 19:18:09,"🖤 https://t.co/2wzXm6BxoU","Twitter for iPhone",FALSE,FALSE,4708,26739,NA
"ArianaGrande.3","1069307872985591808",2018-12-02 19:10:38,"yooooo https://t.co/eR5WCwkCIC","Twitter for iPhone",TRUE,FALSE,4412,56252,"martina"
"ArianaGrande.4","1069303556514078720",2018-12-02 18:53:29,"🖤 https://t.co/n6cqmK873v","Twitter for iPhone",TRUE,FALSE,2281,27771,"torin"
"ArianaGrande.5","1069302823651762176",2018-12-02 18:50:34,"i- https://t.co/E4OrVSN0YZ","Twitter Web Client",TRUE,FALSE,4967,53850,"ingrid"
"ArianaGrande.6","1069301243615436805",2018-12-02 18:44:17,"🖤 https://t.co/6PRc6hFzBZ","Twitter for iPhone",TRUE,FALSE,1693,20428,"Alfredo Flores"
"ArianaGrande.7","1069299711624892416",2018-12-02 18:38:12,"🖤 @Vevo https://t.co/CXODl8lrmG","Twitter for iPhone",TRUE,FALSE,2730,31869,"Nyle DiMarco"
"ArianaGrande.8","1069299259835527169",2018-12-02 18:36:24,"@NyleDiMarco @Vevo 🖤 @Vevo this is such a dope idea! please see this!","Twitter for iPhone",FALSE,FALSE,750,8409,NA
"ArianaGrande.9","1069297952051486720",2018-12-02 18:31:13,"soon as possible. uploading now. luh u. https://t.co/nuC9FK6tLz","Twitter for iPhone",TRUE,FALSE,2670,41959,"ㅤَkat"
"ArianaGrande.10","1069296402553917440",2018-12-02 18:25:03,"thanks, luke skywalker. i’m gonna go sob in a corner and watch all your movies again now. have a good one. https://t.co/efTQ9yWSK4","Twitter for iPhone",TRUE,FALSE,17950,243687,"Mark Hamill"
"ArianaGrande.11","1069165344483233792",2018-12-02 09:44:16,"🖤 https://t.co/Z3duncoUlu","Twitter for iPhone",FALSE,FALSE,27917,206405,NA
"ArianaGrande.12","1069094847032619008",2018-12-02 05:04:09,"@grandethegod issa reach lol","Twitter for iPhone",FALSE,FALSE,394,4729,NA
